wjsample,wjsample-time
322333.0,0.802
6650.0,0.407
42523.0,1.436
1795091.0,1.67
37033.0,0.835
6623698.0,1.424
136649.0,0.857
110905.0,0.585
443.0,0.63
922.0,1.429
38907.0,1.468
803.0,0.914
243709.0,1.306
5028.0,0.806
5848.0,0.67
1945136.0,2.741
40132.0,1.743
32569.0,1.223
120176.0,1.298
29416.0,2.688
607.0,1.757
706.0,1.364
4422.0,1.248
35290.0,2.592
534.0,2.457
168858.0,0.205
50637.0,0.63
235494.0,0.602
31015.0,0.519
163911.0,0.196
10872.0,0.198
85830.0,0.197
15163.0,0.673
135.0,0.196
49587.0,0.591
230611.0,0.681
30372.0,0.824
160513.0,0.394
69156.0,1.619
9108.0,1.347
48135.0,0.808
42358.0,1.413
223855.0,0.842
567.0,0.515
10360.0,0.602
27836.0,1.47
3666.0,1.617
19375.0,0.884
28942.0,1.33
152958.0,0.796
555.0,0.689
12440.0,2.66
65744.0,1.731
166.0,1.237
774.0,1.251
3494.0,2.639
18463.0,1.724
67.0,1.437
529.0,1.211
227.0,2.479
64.0,2.5
1970.0,0.208
35316.0,0.56
90584.0,0.601
6103652.0,0.52
125286.0,0.211
148.0,0.19
643.0,0.185
6793.0,0.554
33864.0,0.289
521.0,0.688
1337.0,0.606
90118.0,0.779
1850.0,0.418
23975.0,1.446
1615468.0,1.432
33160.0,0.911
4143620.0,1.365
85054.0,0.877
110182.0,0.527
70.0,0.635
145.0,1.423
9804.0,1.363
201.0,1.088
42688.0,1.413
876.0,0.85
1627.0,0.69
1096702.0,2.637
22513.0,1.748
29162.0,1.252
74801.0,1.393
4644.0,2.964
95.0,1.716
177.0,1.237
770.0,1.151
19798.0,2.59
84.0,2.428
174305.0,0.147
51772.0,0.563
823461.0,0.565
1370290.0,0.602
14783229.0,0.587
11102.0,0.182
303187.0,0.159
324301.0,0.202
52550.0,0.572
212381.0,0.588
1530601.0,0.599
51772.0,0.579
823461.0,0.559
1370290.0,0.593
14783229.0,0.757
244585.0,1.42
897387.0,1.398
4390923.0,1.387
6467349.0,1.336
69839721.0,1.34
116217586.0,1.507
36596.0,0.578
39145.0,0.583
1069016.0,0.544
1005274.0,1.372
99396.0,1.471
165401.0,1.334
1784415.0,1.388
4516984.0,1.273
48731005.0,1.291
52124642.0,1.425
4235392.0,2.867
20743834.0,2.841
34519014.0,2.65
549041329.0,2.758
129036.0,1.374
545223.0,2.695
5882094.0,2.637
6291724.0,2.591
171822145.0,2.657
-1.0,-1.0
-1.0,-1.0
61694.0,0.208
36861.0,0.584
639007.0,0.639
1072312.0,0.648
11471813.0,0.627
4646.0,0.249
138286.0,0.167
149163.0,0.206
48214.0,0.614
196501.0,0.583
1543505.0,0.594
16813.0,0.592
291456.0,0.563
489090.0,0.638
5232387.0,0.775
174138.0,1.469
644304.0,1.406
3126230.0,1.366
5060984.0,1.345
54195753.0,1.365
90945360.0,1.393
15315.0,0.661
16519.0,0.601
491697.0,0.548
930109.0,1.353
32278.0,1.44
54165.0,1.316
579468.0,1.363
1612222.0,1.284
17247888.0,1.317
18604568.0,1.399
3040917.0,2.981
14769104.0,2.752
24783889.0,2.836
429648933.0,2.737
54453.0,1.26
178548.0,2.621
1910140.0,2.636
2060387.0,2.651
61327555.0,2.723
117085371.0,5.603
6791800.0,5.375
5109.0,0.226
51256.0,0.554
815255.0,0.578
1079356.0,0.604
14477364.0,0.609
329.0,0.205
8976.0,0.175
7639.0,0.211
52550.0,0.618
168973.0,0.587
1217766.0,0.598
